,Datum,Omschrijving,Bedrag (EUR)
0,16-feb-23,T_F,500
1,16-mrt-23,T_F,500
2,17-apr-23,T_F,500
3,16-mei-23,T_F,500
4,16-jun-23,T_F,500
5,17-jul-23,T_F,500
6,16-aug-23,T_F,500
7,08-sep-23,T_F,500
8,09-okt-23,T_F,500
9,08-nov-23,T_F,500
10,08-dec-23,T_F,500
12,08-jan-24,T_F,500
13,08-feb-24,T_F,500
14,08-mrt-24,T_F,500
16,08-apr-24,T_F,500
17,08-mei-24,T_F,500
18,10-jun-24,T_F,500
19,08-jul-24,T_F,500
20,08-aug-24,T_F,500
21,09-sep-24,T_F,500
23,08-okt-24,T_F,500
24,08-nov-24,T_F,500
25,09-dec-24,T_F,500
27,08-jan-25,T_F,500
28,10-feb-25,T_F,500
29,10-mrt-25,T_F,500
31,08-apr-25,T_F,500
32,08-mei-25,T_F,500
33,09-jun-25,T_F,500
35,08-jul-25,T_F,500
36,08-aug-25,T_F,500
37,10-sep-25,T_F,250
39,12-okt-25,T_F,500
40,12-nov-25,T_F,500
41,12-dec-25,T_F,500
43,12-jan-26,T_F,500
44,12-feb-26,T_F,500
45,12-mrt-26,T_F,500
47,12-apr-26,T_F,500
48,12-mei-26,T_F,500
