16-jan-23;T_F;500;0,75%;1,50%;2,25%
16-feb-23;T_F;500;0,75%;1,50%;2,25%
16-mrt-23;T_F;500;0,75%;1,50%;2,25%
17-apr-23;T_F;500;0,75%;1,50%;2,25%
16-mei-23;T_F;500;0,75%;1,50%;2,25%
16-jun-23;T_F;500;0,75%;1,50%;2,25%
17-jul-23;T_F;500;0,75%;1,50%;2,25%
16-aug-23;T_F;500;0,75%;1,50%;2,25%
08-sep-23;T_F;500;1,20%;1,80%;3,00%
09-okt-23;T_F;500;1,20%;1,80%;3,00%
08-nov-23;T_F;500;1,20%;1,80%;3,00%
08-dec-23;T_F;500;1,20%;1,80%;3,00%
01-jan-24;Afrekening in bijlage;24,67;1,20%;1,80%;3,00%
08-jan-24;T_F;500;1,20%;1,80%;3,00%
08-feb-24;T_F;500;1,20%;1,80%;3,00%
08-mrt-24;T_F;500;1,20%;1,80%;3,00%
01-apr-24;Afrekening in bijlage;10,5;1,20%;1,80%;3,00%
08-apr-24;T_F;500;1,20%;1,80%;3,00%
08-mei-24;T_F;500;1,20%;1,80%;3,00%
10-jun-24;T_F;500;1,20%;1,80%;3,00%
08-jul-24;T_F;500;1,20%;1,80%;3,00%
08-aug-24;T_F;500;1,20%;1,80%;3,00%
09-sep-24;T_F;500;1,20%;1,80%;3,00%
01-okt-24;Afrekening in bijlage;18,5;1,20%;1,80%;3,00%
08-okt-24;T_F;500;1,20%;1,80%;3,00%
08-nov-24;T_F;500;1,20%;1,80%;3,00%
09-dec-24;T_F;500;1,20%;1,80%;3,00%
01-jan-25;Afrekening in bijlage;134,91;1,05%;1,70%;2,75%
08-jan-25;T_F;500;1,05%;1,70%;2,75%
10-feb-25;T_F;500;1,05%;1,70%;2,75%
10-mrt-25;T_F;500;1,00%;1,50%;2,50%
01-apr-25;Afrekening in bijlage;54,19;1,00%;1,50%;2,50%
08-apr-25;T_F;500;1,00%;1,50%;2,50%
08-mei-25;T_F;500;1,00%;1,50%;2,50%
09-jun-25;T_F;500;1,00%;1,50%;2,50%
01-jul-25;Afrekening in bijlage;54,19;0,75%;1,50%;2,25%
08-jul-25;T_F;500;0,75%;1,50%;2,25%
08-aug-25;T_F;500;0,75%;1,50%;2,25%
10-sep-25;T_F;250;0,75%;1,50%;2,25%
01-okt-25;Afrekening in bijlage;54,33;0,75%;1,50%;2,25%
12-okt-25;T_F;500;0,75%;1,50%;2,25%
12-nov-25;T_F;500;0,75%;1,50%;2,25%
12-dec-25;T_F;500;0,75%;1,50%;2,25%
01-jan-26;Afrekening in bijlage;189,85;0,75%;1,50%;2,25%
12-jan-26;T_F;500;0,75%;1,50%;2,25%
12-feb-26;T_F;500;0,75%;1,50%;2,25%
12-mrt-26;T_F;500;0,75%;1,50%;2,25%
01-apr-26;Afrekening in bijlage;74,47;0,75%;1,50%;2,25%
12-apr-26;T_F;500;0,75%;1,50%;2,25%
12-mei-26;T_F;500;0,75%;1,50%;2,25%
